target_id	name	uniprot	description	cmpd_id_in_src	cmpd_pubchem_cid	pubmed_ids
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL131999	10692676	9464370
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL341171	10670446	9464370
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL48016	44292022	9873418
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL378092	22086982	16730984
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL143853	11811735	12570369
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL371769	44406471	16257203
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL394402	44441091	17428662
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL297169	44290530	10397495
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL1083189	18671884	20102150
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL166543	44381062	10206546
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL101588	10115868	15163182
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL197128	10477973	16137886
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL46845	44290555	10397495
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL513003	24858773	18412326
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL138877	444603	11738569
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL321167	44338604	9873701
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3415060	118733062	26690913
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3415060	118733062	25874337
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL112727	44341288	NULL
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL125772	44347995	15203151
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL206963	NULL	16517159
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3613792	75072534	26288158
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL469090	44569299	19036586
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL418427	44287919	NULL
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL606958	46878201	NULL
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL2441057	72712050	24102612
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL81436	11812643	12036353
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL289951	10094378	9873397
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL340088	10507338	9357536
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL507449	44584171	11908961
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL283945	10204622	11934589
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL39760	44286978	15006404
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL198631	22039455	16213138
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL2373555	73345771	9871540
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL1083191	9802069	20102150
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL40043	10030346	15006404
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL83280	11826929	12036353
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL424049	44313499	12824020
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3797804	127045918	27166573
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL308604	21250386	12824021
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL100187	44330823	NULL
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL300666	44296275	10794696
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL111195	44337909	12372529
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3659627	25143834	NULL
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL269971	44453679	18053726
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL352642	44379766	10636249
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL431535	44292951	9873422
